Category,Field Name,Description,NS Open POs,NS Receipts,Epicor Open POs,Epicor Receipts,Notes
Identifiers,source_system,Identifies which ERP system the data originated from,Hardcode 'NETSUITE',Hardcode 'NETSUITE',Hardcode 'EPICOR',Hardcode 'EPICOR',Required for union of data
Identifiers,transaction_type,Identifies whether record is open order or receipt,Hardcode 'OPEN_ORDER',Hardcode 'RECEIPT',Hardcode 'OPEN_ORDER',Hardcode 'RECEIPT',Required for combined table
Identifiers,po_number,Purchase order number,PO Number,Maximum of PO Number,PO Number,PO Number Header,Primary PO identifier
Identifiers,po_line,Line number on the purchase order,PO Line,Maximum of PO Line ID,PO Line,PO Line,
Identifiers,po_release_num,Release number within a PO line (Epicor only),NULL,NULL,Release Number,Release Line,NetSuite doesn't have release concept - default to 1 or NULL
Identifiers,receipt_number,Receipt/packing slip document number,NULL,Receipt Number,NULL,Packing Slip,Only applicable to receipt transactions
Identifiers,receipt_line,Line number on the receipt document,NULL,Receipt Line ID,NULL,Pack Line,Only applicable to receipt transactions
Organization,subsidiary_company,Company or subsidiary code,Maximum of Subsidiary,Maximum of Subsidiary,Company,Company,Top-level org identifier
Organization,department,Department or cost center,Maximum of Department,NULL,NULL,NULL,NetSuite Open POs only
Organization,location_warehouse,Warehouse or location for inventory,Maximum of Location,Maximum of Location,Warehouse ID,Warehouse ID,
Organization,plant_site,Manufacturing plant/site (Epicor only),NULL,NULL,NULL,Site,Epicor Receipts only
People,created_by,User who created the transaction,Maximum of Created By,Maximum of Created By,PurAgent Name,Receiving Person,Different concepts: buyer vs creator vs receiver
People,buyer_id,Buyer/purchasing agent ID,NULL,NULL,PurAgent Name,Buyer ID,Epicor Open POs + Receipts
Status,po_status,Status of the purchase order,Maximum of PO Status,Maximum of PO Status,Derive from Open flag,Release Status,
Status,is_open_order,Flag indicating if PO header is open,Derive from PO Status,NULL,Open,NULL,Boolean
Status,is_open_release,Flag indicating if release is open (Epicor),NULL,NULL,NULL,Open Release,Epicor Receipts only
