year_month,copper_price_per_lb,price_date
2025-01,4.2483,2025-01-01
2025-02,4.5513,2025-02-01
2025-03,4.9128,2025-03-01
2025-04,4.6428,2025-04-01
2025-05,4.6411,2025-05-01
2025-06,4.8778,2025-06-01
2025-07,5.4473,2025-07-01
2025-08,4.4408,2025-08-01
2025-09,4.6076,2025-09-01
2025-10,5.0198,2025-10-01
2025-11,5.0196,2025-11-01
2025-12,5.3988,2025-12-01
2026-01,5.881,2026-01-01
2026-02,5.859,2026-02-01
2026-03,5.6517,2026-03-01
2026-04,5.9036,2026-04-01
2026-05,6.2642,2026-05-01
2026-06,6.3223,2026-06-01
2026-06,6.3224,2026-06-01
2026-07,6.2802,2026-07-01
