Item_ID,Raw_Description,Category,Sub_Category,Category_Level_1,Category_Level_2,Category_Level_3,analysis_type,extraction_confidence,spec_type,spec_amps,spec_voltage,spec_phase,spec_poles,spec_kaic,spec_frame,spec_kva,spec_gauge,spec_nema,RawMat_Finish,RawMat_Thickness,RawMat_Width,RawMat_Length,RawMat_UoM,RawMat_Weight_Lbs,voltage_inferred,Canonical_Group_ID,Canonical_Name
.02229896,Graco Xtreme-Duty High Pressure Hose,,,MRO & Indirect,Tools & Equipment,Hand Tools,,,,,,,,,,,,,,,,,,,,3489,Graco Xtreme-Duty High Pressure Hose
00406451,"NavePoint 9U Wall-Mount Network Cabinet, 650mm Depth, Hinged Back (Swing Gate Series)",,,Enclosures & Hardware,Electrical Enclosures,Cabinets,ai_categorization,1.0,,,,,,,,,,,,,,,,,,7228,"NavePoint 9U Wall-Mount Network Cabinet, 650mm Depth, Hinged Back (Swing Gate Series)"
0700G01ACA0X74850381,"""Model Options 700G+, Basic Generator Protection plus Gen 25, 64G, 21, 78, 78VS, Auto Synchronizer User Interface English Front Panel 2x16 LCD With 8 Pushbuttons Slot A Power Supply Voltage 110-250 Vdc (110-240 Vac); 50/60 Hz Slot A Digital Input Voltage 125 Vdc/Vac Slot B Ethernet (Port 1) Single 10/100BASE-T Ethernet The protocols SNTP, IEEE 1588-2008 firmware-based PTP and  Modbus TCP are included. Slot B Rear Serial Port (Port 3) EIA-485 IEC 61850 Protocol No DNP3 Protocol No IEC 60870-5-103 Protocol No EtherNet/IP Protocol Yes Slot C 4 DI / 4 DO Fast High Current Hybrid (Form A) Slot C Digital Input Voltage 125 Vdc/Vac Slot D Empty Slot D Digital Input Voltage NA Slot E Vsync Input and Vn Input (300 Vac) (SELECT 2 AVI) Slot E Digital Input Voltage NA Slot Z Current and/or Voltage Inputs 3-Phase 5 Amp AC Current Input / 5 Amp Neutral AC Current Input / 3-Phase AC Voltage (300 Vac) (SELECT 4 ACI / 3 AVI) Conformal Coat Yes""",,,Circuit Protection,Protection Devices,Ground Fault Protection,ai_extraction,0.8,Relay,,110-250Vdc,,,,,,,,,,,,,,,7229,"""Model Options 700G+, Basic Generator Protection plus Gen 25, 64G, 21, 78, 78VS, Auto Synchronizer User Interface English Front Panel 2x16 LCD With 8 Pushbuttons Slot A Power Supply Voltage 110-250 Vdc (110-240 Vac); 50/60 Hz Slot A Digital Input Voltage 125 Vdc/Vac Slot B Ethernet (Port 1) Single 10/100BASE-T Ethernet The protocols SNTP, IEEE 1588-2008 firmware-based PTP and  Modbus TCP are included. Slot B Rear Serial Port (Port 3) EIA-485 IEC 61850 Protocol No DNP3 Protocol No IEC 60870-5-103 Protocol No EtherNet/IP Protocol Yes Slot C 4 DI / 4 DO Fast High Current Hybrid (Form A) Slot C Digital Input Voltage 125 Vdc/Vac Slot D Empty Slot D Digital Input Voltage NA Slot E Vsync Input and Vn Input (300 Vac) (SELECT 2 AVI) Slot E Digital Input Voltage NA Slot Z Current and/or Voltage Inputs 3-Phase 5 Amp AC Current Input / 5 Amp Neutral AC Current Input / 3-Phase AC Voltage (300 Vac) (SELECT 4 ACI / 3 AVI) Conformal Coat Yes"""
1/4-20 UNC-2B GO/NOGO TAPERLOCK THREAD PLUG ASSEMB,1/4-20 UNC-2B GO/NOGO TAPERLOCK THREAD PLUG ASSEMBLYL (.2175/.2224,,,MRO & Indirect,Tools & Equipment,Hand Tools,ai_categorization,0.85,,,,,,,,,,,,,,,,,,7230,1/4-20 Unc-2B Go/Nogo Taperlock Thread Plug Assemblyl (.2175/.2224
10 Channels,"Sandblasting, REF Garelick PO 132983",,,Professional Services,Field Services,Installation,ai_categorization,0.6,,,,,,,,,,,,,,,,,,7231,"Sandblasting, REF Garelick PO 132983"
"100"" x 67"" Shipping Pallets",Shipping Pallets,,,MRO & Indirect,Industrial Equipment,Material Handling,,,,,,,,,,,,,,,,,,,,4649,Shipping pallets
"1000kVA Type testing in Wytheville, VA",,,,Professional Services,Engineering Services,Testing Services,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7232,[No Description]
1001709466,50lbs Playground Sand,,,MRO & Indirect,Facilities,Building Supplies,ai_categorization,0.8,,,,,,,,,,,,,,,,,,7233,50lbs Playground Sand
1015226334,Wide Fast Fill Funnel,,,MRO & Indirect,Office & Administrative,Consumables,ai_categorization,0.7,,,,,,,,,,,,,,,,,,7234,Wide Fast Fill Funnel
"105"" x 44""","105"" x 44"" Custon Wood Pallet W/OSB Topper",,,MRO & Indirect,Industrial Equipment,Packaging Materials,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7235,"105"" x 44"" Custon Wood Pallet W/OSB Topper"
"105"" x 83""","105"" x 83"" Custom Wood Pallet W/OSB Topper",,,MRO & Indirect,Industrial Equipment,Packaging Materials,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7236,"105"" x 83"" Custom Wood Pallet W/OSB Topper"
105-48 ZN,"48"" Lock Rods",,,Enclosures & Hardware,Structural Components,Miscellaneous Hardware,ai_categorization,0.8,,,,,,,,,,,,,,,,,,7237,"48"" Lock Rods"
1098A94,"Snap-In Recessed Pull Handle, Black",,,Enclosures & Hardware,Doors & Covers,Enclosure Doors,ai_categorization,0.85,,,,,,,,,,,,,,,,,,7238,"Snap-In Recessed Pull Handle, Black"
114 (27kV),"027 Standard Customer Cable Boot: 1/2"" X 4 1/4"" Bus Opening (27kV)",,,Electrical Components,Terminal & Wiring,Connectors,ai_extraction,0.8,Cable Boot,,27kV,,,,,,,,,,,,,,,7153,"027 Standard Customer Cable Boot: 1/2"" X 4 1/4"" Bus Opening (27kV)"
"121"" x 90""","121"" x 90"" Custom Wood Pallet W/OSB Topper",,,MRO & Indirect,Industrial Equipment,Packaging Materials,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7239,"121"" x 90"" Custom Wood Pallet W/OSB Topper"
"124"" x 70"" Shipping Pallet",Shipping Pallet,,,MRO & Indirect,Industrial Equipment,Packaging Materials,,,,,,,,,,,,,,,,,,,,4648,Shipping Pallet
"124"" x 70"" Shipping Pallets",Shipping Pallets,,,MRO & Indirect,Industrial Equipment,Material Handling,,,,,,,,,,,,,,,,,,,,4649,Shipping pallets
1310N88,"Ultra-Strength Multipurpose Neoprene Rubber Strip, 4"" x 36"", 3/4"" Thick",,,Raw Materials,Insulation & Coatings,Insulating Materials,regex_extraction,0.85,,,,,,,,,,,,4.0,36.0,144.0,IN,5889.02,,6252,"Ultra-Strength Multipurpose Neoprene Rubber Strip, 4"" x 36"", 3/4"" Thick"
1310N89,"Ultra-Strength Multipurpose Neoprene Rubber Strip, 4"" x 36"", 1"" Thick",,,Raw Materials,Insulation & Coatings,Insulating Materials,regex_extraction,0.85,,,,,,,,,,,,4.0,36.0,144.0,IN,5889.02,,6252,"Ultra-Strength Multipurpose Neoprene Rubber Strip, 4"" x 36"", 3/4"" Thick"
"140"" x 52"" Shipping Pallet",Shipping Pallets,,,MRO & Indirect,Industrial Equipment,Material Handling,,,,,,,,,,,,,,,,,,,,4649,Shipping pallets
"140"" x 54"" Shipping Pallets",77355 Burr Aus,,,MRO & Indirect,Industrial Equipment,Packaging Materials,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7240,77355 Burr Aus
1SDA080375R1,5 POSITION CONTACTS C.BREAKERS ADDITIONAL V <(><<)> 400V AC E2.2...E6.2 UL,,,Circuit Protection,Breaker Accessories,Auxiliary Contacts,ai_extraction,0.8,Breaker,,400VAC,,5.0,,E2.2...E6.2,,,,,,,,,,,7241,5 Position Contacts C.Breakers Additional V <(><<)> 400V Ac E2.2...E6.2 Ul
1UH59,"DREMEL Sanding Band: Band Sanding Bit, Aluminum Oxide, 60 Grit, Slide on Fit, Sanding Band, 6 PK",,,MRO & Indirect,Tools & Equipment,Power Tools,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7242,"DREMEL Sanding Band: Band Sanding Bit, Aluminum Oxide, 60 Grit, Slide on Fit, Sanding Band, 6 PK"
1UH65,"DREMEL Sanding Band: Band Sanding Bit, Aluminum Oxide, 120 Grit, Slide on Fit, Sanding Band, 6 PK",,,MRO & Indirect,Tools & Equipment,Power Tools,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7243,"DREMEL Sanding Band: Band Sanding Bit, Aluminum Oxide, 120 Grit, Slide on Fit, Sanding Band, 6 PK"
1VCF549716R0001,KIT 10+10 LEFT AND RIGHT RAILS PB8,,,Enclosures & Hardware,Structural Components,DIN Rails,ai_categorization,0.8,,,,,,,,,,,,,,,,,,7244,Kit 10+10 Left And Right Rails Pb8
1VCF549716R0005,KIT 10 MOUNTING HEART + AUXILIARY,,,Circuit Protection,Breaker Accessories,Mounting Kits,ai_extraction,0.8,Mounting Kit,,,,,,,,,,,,,,,,,7245,Kit 10 Mounting Heart + Auxiliary
1VCF549716R0006,KIT 10 WIRING TABLE AUX CONTACT 38 KV,,,Circuit Protection,Breaker Accessories,Auxiliary Contacts,ai_extraction,0.8,Auxiliary Contact,,38kV,,,,,,,,,,,,,,,7246,Kit 10 Wiring Table Aux Contact 38 Kv
1VL5400152V1116,"KEVA 24 B21                   
Voltage Sensor
200 kO/350 pF
9.9m Cable",,,Electrical Components,Metering & Sensing,Current Sensors,ai_extraction,0.8,Voltage Sensor,,24V,,,,,,,,,,,,,,,7247,"KEVA 24 B21                   
Voltage Sensor
200 kO/350 pF
9.9m Cable"
206189,"Contact Tip, Miller, Threaded, PK25",,,MRO & Indirect,Tools & Equipment,Hand Tools,ai_categorization,0.85,,,,,,,,,,,,,,,,,,7248,"Contact Tip, Miller, Threaded, PK25"
21929393,Brake Tools per quote,,,MRO & Indirect,Tools & Equipment,Hand Tools,,,,,,,,,,,,,,,,,,,,1509,Brake Tools Per Quote
21U979,"MKT FASTENING Wedge Anchor: 2 1/4 in Overall Lg, 3/8 in Dia, 3/8""-16 Thread Size, Steel, 20 PK",,,Enclosures & Hardware,Fasteners & Fittings,Anchors,ai_categorization,1.0,,,,,,,,,,,,,,,,,,7249,"MKT FASTENING Wedge Anchor: 2 1/4 in Overall Lg, 3/8 in Dia, 3/8""-16 Thread Size, Steel, 20 PK"
2209,"2209 B [1-1/4 in.] Station Die Shim 0.010 in., 4EA 28.50 114.00  Package Of 25",,,Enclosures & Hardware,Fasteners & Fittings,Nuts & Washers,ai_categorization,0.75,,,,,,,,,,,,,,,,,,7250,"2209 B [1-1/4 in.] Station Die Shim 0.010 in., 4EA 28.50 114.00  Package Of 25"
22UY23,blade repacement,,,MRO & Indirect,Tools & Equipment,Hand Tools,ai_categorization,0.6,,,,,,,,,,,,,,,,,,7251,blade repacement
2322529,WAGNER-ELECTRODE HOLDER X1F - FOR FLAT NOZZLE,,,MRO & Indirect,Industrial Equipment,Manufacturing Equipment,ai_categorization,0.8,,,,,,,,,,,,,,,,,,7252,Wagner-Electrode Holder X1F - For Flat Nozzle
2403151412,"McNichols Plank Grating PLank, GRIP STRUT, Galvanized Steel, Pre-Galvanized, Mill Finish, 4 Guage (.0785"" Thick), 3-Diamond (7"" Width) 1-1/2"" Channel Depth, Serrated Surafce, Long Way of Opening (LWO) Parallel to Width of Plank, 37% Open Area, 7"" Width x 144"" Length",,,Raw Materials,Steel Products,Galvanized Sheet,ai_extraction,0.75,,,,,,,,,,,"Pre-Galvanized, Mill Finish",0.0785,7.0,144.0,IN,,,7253,"McNichols Plank Grating PLank, GRIP STRUT, Galvanized Steel, Pre-Galvanized, Mill Finish, 4 Guage (.0785"" Thick), 3-Diamond (7"" Width) 1-1/2"" Channel Depth, Serrated Surafce, Long Way of Opening (LWO) Parallel to Width of Plank, 37% Open Area, 7"" Width x 144"" Length"
2483,PASS Tooling per Quote 2483,,,MRO & Indirect,Tools & Equipment,Hand Tools,ai_categorization,0.5,,,,,,,,,,,,,,,,,,7254,PASS Tooling per Quote 2483
2492,PASS Tooling Per quote 2492,,,MRO & Indirect,Tools & Equipment,Hand Tools,ai_categorization,0.5,,,,,,,,,,,,,,,,,,7255,PASS Tooling Per quote 2492
24WT89,No Smoking sign,,,MRO & Indirect,Tools & Equipment,Safety Equipment,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7256,No Smoking sign
25H840,"DYNABRADE Air Disc Sander: 2 in Pad, Locking, Heavy Duty, 0.4 hp, 25 cfm, Right Angle Grip, Fixed",,,MRO & Indirect,Tools & Equipment,Power Tools,ai_categorization,1.0,,,,,,,,,,,,,,,,,,7257,"DYNABRADE Air Disc Sander: 2 in Pad, Locking, Heavy Duty, 0.4 hp, 25 cfm, Right Angle Grip, Fixed"
2615-20,Milwaukee 2615-20 M18™ Cordless Lithium-Ion Right Angle Drill,,,MRO & Indirect,Tools & Equipment,Power Tools,ai_categorization,1.0,,,,,,,,,,,,,,,,,,7258,Milwaukee 2615-20 M18™ Cordless Lithium-Ion Right Angle Drill
265522,Snap Tool 200v Left,,,MRO & Indirect,Tools & Equipment,Hand Tools,ai_categorization,0.6,,,,,,,,,,,,,,,,,,7259,Snap Tool 200v Left
265525,Snap Tool 200v Right,,,MRO & Indirect,Tools & Equipment,Hand Tools,ai_categorization,0.6,,,,,,,,,,,,,,,,,,7260,Snap Tool 200v Right
268473,LUBRICATION AND  MAINTANANCE KIT 76.30-2  MEGABEND,,,MRO & Indirect,Facilities,Factory Maintenance,ai_categorization,0.85,,,,,,,,,,,,,,,,,,7261,Lubrication And  Maintanance Kit 76.30-2  Megabend
26X570,"WATTS Water Hammer Arrestor: 1 in Pipe Size, NPT, 11 3/16 in Overall Ht, 2 5/8 in Overall Dia",,,MRO & Indirect,Facilities,Plumbing,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7262,"WATTS Water Hammer Arrestor: 1 in Pipe Size, NPT, 11 3/16 in Overall Ht, 2 5/8 in Overall Dia"
