Raw_Terms,Standardized_Terms
Net 30,Net 30
N30,Net 30
2% 10th Net 30,Net 30
Net 45,Net 45
N45,Net 45
Net 15,Net 15
N15,Net 15
Net 60,Net 60
N60,Net 60
Net 90,Net 90
Net 10,Net 10
N10,Net 10
Net 20,Net 20
N20,Net 20
N00,Due on Receipt
Due on Receipt,Due on Receipt
COD,Due on Receipt
CIA,Due on Receipt
Cash,Due on Receipt
Credit Card,Due on Receipt
CARD,Due on Receipt
D01,Discount Terms
D02,Discount Terms
D03,Discount Terms
D05,Discount Terms
D06,Discount Terms
D08,Discount Terms
D09,Discount Terms
D10,Discount Terms
D99,Discount Terms
