Raw_Name,Standardized_Name,Intercompany,Supplier_Type,Location
"Keystone Acquisition Company, Inc.",Keystone Acquisition,N,Manufacturer,USA
ComAp *DO NOT USE* (USE ComAp LLC),ComAp,N,Manufacturer,Czech Republic
Stored Energy Solutions LLC,Stored Energy Solutions,N,Manufacturer,USA
James Hannan DBA Riva Controls LLC (DO NOT USE),Riva Controls,N,Service Provider,USA
HARTFIEL AUTOMATION,Hartfiel Automation,N,Distributor,USA
"Atlantic Sun Control, Inc.",Atlantic Sun Control,N,Service Provider,USA
A&A TRANSFER,A&A Transfer,N,Service Provider,USA
DZKICORP INC. / Dozuki,Dozuki,N,Service Provider,USA
Meramec Instrument Transformer Company,Meramec Instrument Transformer,N,Manufacturer,USA
Intertek Testing Services N.A. INC,Intertek Testing Services,N,Service Provider,United Kingdom
SATEC,SATEC,N,Manufacturer,Israel
"Advanced Consulting Engineers, P.A.",Advanced Consulting Engineers,N,Service Provider,USA
Allegis Corporation,Allegis,N,Distributor,USA
On Watch LLC,On Watch,N,Service Provider,USA
Gumpher Inc.,Gumpher,N,Service Provider,USA
Power Conditioning Computer Services Inc,Power Conditioning Computer Services,N,Service Provider,USA
"Safe Air Technologies Intermediate, LLC",Safe Air Technologies,N,Manufacturer,USA
JANITZA NORTH AMERICA LP,Janitza North America,N,Manufacturer,USA
James Hannan DBA Riva Controls LLC,Riva Controls,N,Service Provider,USA
Gordon Electric Supply,Gordon Electric Supply,N,Distributor,USA
"RADOTICH, INC",Radotich,N,Service Provider,USA
"Melrose Mac, Inc.",Melrose Mac,N,Distributor,USA
Evergreenacres Landscaping,Evergreenacres Landscaping,N,Service Provider,USA
"Simplex, Inc. - Duplicate DO NOT USE",Simplex,N,Manufacturer,USA
"CPG BEYOND, INC.",CPG Beyond,N,Service Provider,USA
Inductive Automation,Inductive Automation,N,Manufacturer,USA
Mobile Bay Power Systems LLC,Mobile Bay Power Systems,N,Distributor,USA
"Load Technology, Inc.",Load Technology,N,Manufacturer,USA
"Jk Moving & Storage, Inc",JK Moving & Storage,N,Service Provider,USA
360 Rigging,360 Rigging,N,Service Provider,USA
"RESA Service, LLC",RESA Service,N,Service Provider,USA
"Benchmark Digital Partners, LLC",Benchmark Digital Partners,N,Service Provider,USA
Algood Casters,Algood Casters,N,Manufacturer,Canada
"Technical Tool Products, Inc.",Technical Tool Products,N,Distributor,USA
Element Materials Technology Chicago LLC,Element Materials Technology,N,Service Provider,United Kingdom
Shohola Holdings LLC,Shohola Holdings,N,Service Provider,USA
East West Glass LLC,East West Glass,N,Manufacturer,USA
Knott Mechanical LLC,Knott Mechanical,N,Service Provider,USA
Gema USA Inc,Gema USA,N,Manufacturer,Switzerland
Turning Point Corporation,Turning Point,N,Service Provider,USA
SupplyHouse.com,SupplyHouse,N,Distributor,USA
Samsco Corporation,Samsco,N,Manufacturer,USA
"Metplas, Inc.",Metplas,N,Manufacturer,USA
"William B. Meyer, Inc.",William B. Meyer,N,Service Provider,USA
Global Industrial,Global Industrial,N,Distributor,USA
"Advanced Guaranteed Industrial Services, LLC",Advanced Guaranteed Industrial Services,N,Service Provider,USA
GRAINGER INC,Grainger,N,Distributor,USA
SURE POWER INC,Sure Power,N,Service Provider,USA
"Sieyuan Electric USA,LLC",Sieyuan Electric,N,Manufacturer,China
"WYOMING MACHINE, INC",Wyoming Machine,N,Manufacturer,USA
OLYMPIC CONTROLS CORP,Olympic Controls,N,Manufacturer,USA
"Resa Service, LLC",RESA Service,N,Service Provider,USA
CHANGEPOND TECHNOLOGIES PRIVATE LIMITED,Changepond Technologies,N,Service Provider,India
A-RENT TEST EQUIPMENT LLC,A-Rent Test Equipment,N,Service Provider,USA
Precision Sawing,Precision Sawing,N,Service Provider,USA
COMAP LLC,ComAp,N,Manufacturer,Czech Republic
AUSTIN HARDWARE & SUPPLY INC,Austin Hardware & Supply,N,Distributor,USA
"Air Hygiene International, Inc.",Air Hygiene International,N,Service Provider,USA
TOTAL FUEL & TANK MANAGEMENT LLC,Total Fuel & Tank Management,N,Service Provider,USA
Instrata Technologies LLC,Instrata Technologies,N,Manufacturer,USA
"MV Supply, LLC",MV Supply,N,Distributor,USA
Sine Wave Technologies,Sine Wave Technologies,N,Manufacturer,USA
Stephen Gould Corporation,Stephen Gould,N,Service Provider,USA
PrestiVac USA Inc.,PrestiVac,N,Manufacturer,USA
iLobby Corp,iLobby,N,Service Provider,Canada
